DATE,TEMP
07/18/2014,82.6
07/19/2014,81.1
07/20/2014,79.9
07/21/2014,81.3
07/22/2014,80.8
07/18/2025,72.9
07/19/2015,74.3
07/20/2015,74.3
07/21/2015,75.4
07/22/2015,75.4
07/18/2016,76.1
07/19/2016,76.5
07/20/2016,77.2
07/21/2016,77.4
07/22/2016,77.4
07/18/2017,74.8
07/19/2017,75.6
07/20/2017,77.4
07/21/2017,77.2
07/22/2017,77.2
07/18/2018,78.6
07/19/2018,78.4
07/20/2018,78.1
07/21/2018,77.5
07/22/2018,77
07/18/2019,79.5
07/19/2019,78.8
07/20/2019,79.7
07/21/2019,81.3
07/22/2019,80.8
07/18/2020,78.3
07/19/2020,78.8
07/20/2020,79.2
07/21/2020,78.3
07/22/2020,78.1
07/18/2021,74.1
07/19/2021,75.4
07/20/2021,78.1
07/21/2021,76.1
07/22/2021,76.9
07/18/2022,73.2
07/19/2022,75.2
07/20/2022,75.9
07/21/2022,76.1
07/22/2022,77.5
07/18/2023,76.3
07/19/2023,77.5
07/20/2023,76.1
07/21/2023,75.9
07/22/2023,76.6
07/18/2024,77.2
07/19/2024,77.2
07/20/2024,77.5
07/21/2024,77.7
07/22/2024,77.4
